date,TRY,GEL
2020-01-06,5.9692,2.8584
2020-01-07,5.9724,2.8587
2020-01-08,5.9082,2.8634
2020-01-09,5.8745,2.8899
2020-01-10,5.8808,2.8835
2020-01-13,5.8675,2.885
2020-01-14,5.8815,2.8734
2020-01-15,5.8751,2.8736
2020-01-16,5.8595,2.8714
2020-01-17,5.8862,2.87
2020-01-20,5.9156,2.8779
2020-01-21,5.938,2.8845
2020-01-22,5.9249,2.8826
2020-01-23,5.9345,2.883
2020-01-24,5.939,2.8867
2020-01-27,5.9438,2.8888
2020-01-28,5.9408,2.8908
2020-01-29,5.9594,2.8969
2020-01-30,5.9696,2.8942
2020-01-31,5.9829,2.8883
2020-02-03,5.985,2.8588
2020-02-04,5.9805,2.8501
2020-02-05,5.9827,2.8523
2020-02-06,5.9878,2.8575
2020-02-07,6.0146,2.8575
2020-02-10,6.0114,2.8613
2020-02-11,6.0153,2.8636
2020-02-12,6.0445,2.8621
2020-02-13,6.0396,2.8756
2020-02-14,6.0587,2.8645
2020-02-17,6.0449,2.8674
2020-02-18,6.0639,2.8549
2020-02-19,6.0832,2.8294
2020-02-20,6.0963,2.8264
2020-02-21,6.0953,2.828
2020-02-24,6.1178,2.804
2020-02-25,6.1439,2.7884
2020-02-26,6.1581,2.7921
2020-02-27,6.209,2.7931
2020-02-28,6.2469,2.7797
2020-03-02,6.1795,2.7795
2020-03-03,6.108,2.7828
2020-03-04,6.0772,2.7784
2020-03-05,6.1095,2.7768
2020-03-06,6.0916,2.7786
2020-03-09,6.1467,2.8302
2020-03-10,6.1574,2.8503
2020-03-11,6.2099,2.9563
2020-03-12,6.3169,2.9703
2020-03-13,6.3331,3.0352
2020-03-16,6.4311,3.0577
2020-03-17,6.3974,3.1496
2020-03-18,6.4819,3.1717
2020-03-19,6.5434,3.1838
2020-03-20,6.5508,3.2069
2020-03-23,6.5618,3.348
2020-03-24,6.4191,3.4768
2020-03-25,6.4171,3.5102
2020-03-26,6.3983,3.3956
2020-03-27,6.4542,3.3225
2020-03-30,6.5739,3.2862
2020-03-31,6.6152,3.2881
2020-04-01,6.7026,3.1994
2020-04-02,6.6058,3.1584
2020-04-03,6.7309,3.1746
2020-04-06,6.7789,3.1779
2020-04-07,6.7645,3.184
2020-04-08,6.774,3.1837
2020-04-09,6.6731,3.1775
2020-04-10,6.7044,3.1425
2020-04-13,6.7701,3.1412
2020-04-14,6.8166,3.1447
2020-04-15,6.9123,3.1404
2020-04-16,6.9387,3.1556
2020-04-17,6.9294,3.1592
2020-04-20,6.9403,3.1597
2020-04-21,6.9809,3.1675
2020-04-22,6.9821,3.1802
2020-04-23,6.9462,3.195
2020-04-24,6.9727,3.2151
